Cell_id,species,paper,Age,stage
D7A4S1,human,Xiang,D07,blastocyst
D7A4S12,human,Xiang,D07,blastocyst
D7A4S13,human,Xiang,D07,blastocyst
D7A4S14,human,Xiang,D07,blastocyst
D7A4S15,human,Xiang,D07,blastocyst
D7A4S2,human,Xiang,D07,blastocyst
D7A4S7,human,Xiang,D07,blastocyst
D8_8B1,human,Xiang,D08,peri
D8_8B2,human,Xiang,D08,peri
D8_8B3,human,Xiang,D08,peri
D8_8B4,human,Xiang,D08,peri
D8_8S1,human,Xiang,D08,peri
D8_8S2,human,Xiang,D08,peri
D8_8S3,human,Xiang,D08,peri
D8_8S4,human,Xiang,D08,peri
D8_8S5,human,Xiang,D08,peri
D8_8S6,human,Xiang,D08,peri
D8_8S7,human,Xiang,D08,peri
D8_8S8,human,Xiang,D08,peri
D8A1B10,human,Xiang,D08,peri
D8A1B2,human,Xiang,D08,peri
D8A1B3,human,Xiang,D08,peri
D8A1B4,human,Xiang,D08,peri
D8A1B6,human,Xiang,D08,peri
D8A1S1,human,Xiang,D08,peri
D8A1S11,human,Xiang,D08,peri
D8A1S24,human,Xiang,D08,peri
D8A1S3,human,Xiang,D08,peri
D8A1S31,human,Xiang,D08,peri
D8A1S7,human,Xiang,D08,peri
D8A1S8,human,Xiang,D08,peri
D8A2B1,human,Xiang,D08,peri
D8A2B2,human,Xiang,D08,peri
D8A2B5,human,Xiang,D08,peri
D8A2S1,human,Xiang,D08,peri
D8A2S10,human,Xiang,D08,peri
D8A2S12,human,Xiang,D08,peri
D8A2S15,human,Xiang,D08,peri
D8A2S2,human,Xiang,D08,peri
D8A2S24,human,Xiang,D08,peri
D8A2S29,human,Xiang,D08,peri
D8A2S3,human,Xiang,D08,peri
D8A2S4,human,Xiang,D08,peri
D8A3B1,human,Xiang,D08,peri
D8A3B10,human,Xiang,D08,peri
D8A3B11,human,Xiang,D08,peri
D8A3B4,human,Xiang,D08,peri
D8A3S1,human,Xiang,D08,peri
D8A3S12,human,Xiang,D08,peri
D8A3S13,human,Xiang,D08,peri
D8A3S2,human,Xiang,D08,peri
D8A3S28,human,Xiang,D08,peri
D8A3S5,human,Xiang,D08,peri
D8A3S7,human,Xiang,D08,peri
D8A3S8,human,Xiang,D08,peri
D8A5B7,human,Xiang,D08,peri
D8A5B8,human,Xiang,D08,peri
D8A5S1,human,Xiang,D08,peri
D8A5S14,human,Xiang,D08,peri
D8A5S4,human,Xiang,D08,peri
D8A6B1,human,Xiang,D08,peri
D8A6B3,human,Xiang,D08,peri
D8A6B6,human,Xiang,D08,peri
D8A6S15,human,Xiang,D08,peri
D8A6S5,human,Xiang,D08,peri
D8A6S7,human,Xiang,D08,peri
D9A1B1,human,Xiang,D09,peri
D9A1B15,human,Xiang,D09,peri
D9A1B16,human,Xiang,D09,peri
D9A1B2,human,Xiang,D09,peri
D9A1B3,human,Xiang,D09,peri
D9A1B4,human,Xiang,D09,peri
D9A1S1,human,Xiang,D09,peri
